_id,nameEng,nameChi,district,schoolType,level,address,phone,email,country
5950dcd2d2153ef43c3b4d1b,American International School,,"Kowloon City, Kowloon",International School,"Primary, Secondary","125 Waterloo Road, Kowloon Tong, Kowloon",2336 3812,admin@ais.edu.hk,Hong Kong
dd99c8c8cc4af6525eb7643b,American School Hong Kong,,"Tai Po, New Territories East",International School,"Primary, Secondary","6 Ma Chung Road, Tai Po, New Territories",3919 4100,administration@ashk.edu.hk,Hong Kong
f5ce05530d5c10dfc94b90dc,Carmel School (Shau Kei Wan Campus),,"Eastern, Hong Kong",International School,"Primary, Secondary","460 Shau Kei Wan Road, Hong Kong",3665 5388,admin@carmel.edu.hk,Hong Kong
04af5848c2ed99089f2123c4,Chinese International School,,"Eastern, Hong Kong",International School,"Primary, Secondary","1 Hau Yuen Path, Braemar Hill, Hong Kong SAR, China",,cis_info@cis.edu.hk,Hong Kong
299b9a65b60faaf9b39f2f65,Christian Alliance International School,,"Sham Shui Po, Kowloon",International School,"Primary, Secondary","33 King Lam Street, Lai Chi Kok, Kowloon",3699 3899,info@caisbv.edu.hk,Hong Kong
02e9b1fff1a5294bd0d67fe5,Christian Alliance P.C. Lau Memorial International School,,"Kowloon City, Kowloon",International School,Primary,"2 Fu Ning Street, Kowloon City, Kowloon",2713 3733,info@capcl.edu.hk,Hong Kong
b4f4ad1c351d3e488812a4ac,Concordia International School,,"Sham Shui Po, Kowloon",International School,Secondary,"68 Begonia Road, Yau Yat Chuen, Kowloon",2789 9890,office@concordiaintl.edu.hk,Hong Kong
4833a7b438f7f13c048970c1,Discovery Bay International School,,"Islands, New Territories West",International School,"Primary, Secondary","Discovery Bay, Lantau Island, New Territories",2987 7331,dbis@dbis.edu.hk,Hong Kong
fe5879038443fd8aa8b2471c,DSC International School,,"Eastern, Hong Kong",International School,"Primary, Secondary","5-7 Tai Fung Avenue, Taikoo Shing, Quarry Bay, Hong Kong",3658 0508,admissions@dsc.edu.hk,Hong Kong
7e2333b0efb31c29998cfc9b,German Swiss International School (English) (Peak Campus),,"Central and Western, Hong Kong",International School,"Primary, Secondary","11&22 Guildford Road, The Peak, Hong Kong",2849 6216,gsis@gsis.edu.hk; info@gsis.edu.hk,Hong Kong
