_id,District,Name (English),Name (Chinese),School Type,Level,Address,Phone,Email,Country,Link
{'$oid': 'cbdf87280d041f4d48530124'},Central & Western,Bonham Road Government Primary School,般咸道官立小學,Gov't,Primary,"9A Bonham Road, Hong Kong",25171216,brgps@edb.gov.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=21&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '0bf7383ba3e80937909a31d2'},Central & Western,Catholic Mission School,天主教總堂區學校,Aided,Primary,"Rutter Street, Central, Hong Kong",25477618,cms@cms.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=4&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': 'baba66501f204df7a5d6668b'},Central & Western,Central & Western District St. Anthony's School,中西區聖安多尼學校,Aided,Primary,"2 Hospital Road, Hong Kong",25460369,sch@cwsa.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=7&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': 'f2576d85187272811bd7324c'},Central & Western,"Chiu Sheung School, Hong Kong",香港潮商學校,Aided,Primary,"79B Pok Fu Lam Road, Hong Kong",25461644,info@csshk.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=12&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '3ea3ee86999821871a6869d0'},Central & Western,King's College Old Boys' Association Primary School,英皇書院同學會小學,Aided,Primary,"58 Bridges Street, Hong Kong",25477468,info@kcobaps1.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=13&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '7c9017261499f8dc9365cb4a'},Central & Western,King's College Old Boys' Association Primary School No. 2,英皇書院同學會小學第二校,Aided,Primary,"40 Po Hing Fong, Sheung Wan, Hong Kong",25477575,office@kcobaps2.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=5&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': 'd6a874970fa00e9c9edaafba'},Central & Western,Li Sing Primary School,李陞小學,Gov't,Primary,"119 High Street, Sai Ying Pun, Hong Kong",25408966,lsps@edb.gov.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=8&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '363df90b2e94d5c0096ff8ac'},Central & Western,Sacred Heart Canossian School,嘉諾撒聖心學校,Aided,Primary,"26 Caine Road, Central, Hong Kong",25248679,shcs@shcs.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=9&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '3aad33da7f6a02eeb1f9b9a6'},Central & Western,San Wui Commercial Society School,新會商會學校,Aided,Primary,"1 Kui In Fong, Sheung Wan, Hong Kong",25465712,info@swcss.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=6&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '627d64f81b029e02b9975e83'},Central & Western,S.K.H. Kei Yan Primary School,聖公會基恩小學,Aided,Primary,"109 Hollywood Road, Central, Hong Kong",25240896,Info@skhkyps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=14&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
