_id,District,Name (English),Name (Chinese),School Type,Level,Address,Phone,Email,Country,Link
{'$oid': '521e64b759606e56aaa979f1'},Central & Western,King's College,英皇書院,Gov't,Secondary,63A Bonham Road,25470310,kings@edb.gov.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=419&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '9d982ea811c45ea3fb35ec67'},Central & Western,Lok Sin Tong Leung Kau Kui College,樂善堂梁銶琚書院,Aided,Secondary,28 Hospital Road Sai Ying Poon,28587002,office@lstlkkc.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=182&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '5a83a4dd2904ddfd6a192cf2'},Central & Western,Raimondi College,高主教書院,Aided,Secondary,2 Robinson Road Mid-Level,25222159,rcss@raimondi.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=116&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': 'aab8b2be74652ef014f3aff0'},Central & Western,St. Clare's Girls' School,聖嘉勒女書院,Aided,Secondary,"50 Mount Davis Road, Hong Kong",28171764,info@stclare.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=298&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '239101e98e533c46ca726ed7'},Central & Western,St. Joseph's College,聖若瑟書院,Aided,Secondary,7 Kennedy Road Central,36524888,info@sjc.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=309&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '84157c3250631a540e1c9a61'},Central & Western,St. Louis School,聖類斯中學,Aided,Secondary,"179 Third Street, Hong Kong",25460117,mailbox@stlouis.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=301&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '88f14e91639df1d7a7467842'},Central & Western,St. Paul's Co-educational College,聖保羅男女中學,DSS,Secondary,33 MacDonnell Road,25231187,adminoffice@spcc.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=275&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '93e037ed272f05fca7cc9b4b'},Central & Western,St. Paul's College,聖保羅書院,DSS,Secondary,67-69 Bonham Road Hong Kong,25462241,mail@spc.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=276&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '6b66202ec1f0a9f3a4a29746'},Central & Western,St. Stephen's Church College,聖士提反堂中學,Aided,Secondary,"62 Pokfulam Road, Hong Kong",25466111,info@sscc.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=313&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
{'$oid': '6df2e72778e7d39bb12484cc'},Central & Western,St. Stephen's Girls' College,聖士提反女子中學,Aided,Secondary,2 Lyttelton Road,25492521,ssgc@ssgc.edu.hk,Hong Kong,sch_detail.php?li_id=2&lang_id=1&chg_district_id=1&sch_id=311&return_page=sch_list.php%3Flang_id%3D1%26chg_district_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26sort_id%3D-1%26district_id%3D1
